时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-18,CEA,288600.00,26193300.00,87.50,1,2024-07-18 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-17,CEA,302000.00,27172000.00,86.86,2,2024-07-17 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-16,CEA,10720.00,944581.60,87.57,3,2024-07-16 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-15,CEA,10065.00,865642.00,87.05,4,2024-07-15 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-12,CEA,253144.00,23052340.00,90.18,5,2024-07-12 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-11,CEA,187189.00,16842681.40,89.88,6,2024-07-11 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-10,CEA,347005.00,32239962.50,90.82,7,2024-07-10 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-09,CEA,9005.00,797262.50,90.87,8,2024-07-09 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-08,CEA,335015.00,29983887.00,90.63,9,2024-07-08 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-05,CEA,38500.00,3509500.00,90.61,10,2024-07-05 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-04,CEA,20000.00,1820000.00,90.80,11,2024-07-04 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-03,CEA,168000.00,15132000.00,90.80,12,2024-07-03 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-02,CEA,33000.00,3022000.00,91.33,13,2024-07-02 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-07-01,CEA,11010.00,999840.00,88.38,14,2024-07-01 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-28,CEA,351868.00,32200909.60,90.66,15,2024-06-28 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-27,CEA,827010.00,74514001.00,92.13,16,2024-06-27 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-26,CEA,362100.00,32467900.00,92.87,17,2024-06-26 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-25,CEA,769010.00,72062140.00,88.88,18,2024-06-25 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-24,CEA,24000.00,2234700.00,91.08,19,2024-06-24 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
2024-06-21,CEA,51497.00,4848335.00,91.43,20,2024-06-21 00:00:00,1,0,2024-07-21 05:06:23,0,2024-07-21 05:06:23,,,
